,favorite_count,replies_count,retweet_count,tweet,tweet_created,tweet_created_at,tweet_id,type,unmetric_engagement_score,url,company,channel
0,101,3,28,"Fast, flexible & easy: Huawei #CloudCampus enables smart applications that matter to your business: https://t.co/MSQDgGlJCv https://t.co/SXnA95lsv8",01/02/2018,01/02/2018 22:30,9.59268E+17,proactive,396,http://www.twitter.com/Huawei/status/959267868213854209,Huawei,Twitter
1,74,1,17,"#AllCloudNetwork is shaping a fully connected, intelligent future unbound by time & space. Are you ready? #MWC18 https://t.co/0icF8NNRax https://t.co/",01/02/2018,01/02/2018 22:09,9.59262E+17,proactive,249,http://www.twitter.com/Huawei/status/959262458023002113,Huawei,Twitter
2,53,1,21,"#AllCloudNetwork is shaping a fully connected, intelligent future unbound by bound by time & space. Are you ready? #MWC18 https://t.co/0icF8NNRax http",01/02/2018,01/02/2018 04:45,9.59E+17,proactive,268,http://www.twitter.com/Huawei/status/958999704649441280,Huawei,Twitter
3,74,3,18,#ExponentialOrganizations are 10x faster. @vangeest explains why they’re the future. #Huawei #WinWin https://t.co/mNxmdMQDXQ https://t.co/iIOSAFJVDN,31/01/2018,31/01/2018 04:45,9.58637E+17,proactive,269,http://www.twitter.com/Huawei/status/958637273888665601,Huawei,Twitter
4,58,2,13,"In 6 months, #Yingtan has become a fully functional smart city with a revolutionary #NB-IoT network availability rate of 95%. How was this achieved? h",31/01/2018,31/01/2018 01:30,9.58588E+17,proactive,198,http://www.twitter.com/Huawei/status/958588178134335488,Huawei,Twitter
5,0,0,0,"RT @HuaweiCarrier: #RuralStar makes #connectivity simple and sustainable in the remote areas of our world. 
#HuaweiDXF at #MWC18 https://t.…",31/01/2018,31/01/2018 01:23,9.58586E+17,retweet,0,http://www.twitter.com/Huawei/status/958586417445208064,Huawei,Twitter
6,89,5,28,The #5G launch countdown for the Tokyo #2020Olympics has begun. @docomo explains why partnerships are crucial for 5G to win gold: https://t.co/BMzo4pw,30/01/2018,30/01/2018 07:05,9.5831E+17,proactive,394,http://www.twitter.com/Huawei/status/958310088304861184,Huawei,Twitter
7,51,3,11,"What does a sensate, connected, intelligent future mean for you? #Huawei’s Ryan Ding leads a sneak peek before #MWC18. London, Feb 8: https://t.co/B7j",30/01/2018,30/01/2018 06:30,9.58301E+17,proactive,176,http://www.twitter.com/Huawei/status/958301280526479361,Huawei,Twitter
8,225,8,68,What’s Huawei bringing to the table at #MWC18? Here’s a sneak peek: https://t.co/Ybq5WCCN8H https://t.co/ek5vueBDPf,29/01/2018,29/01/2018 09:32,9.57985E+17,proactive,945,http://www.twitter.com/Huawei/status/957984786550788096,Huawei,Twitter
9,0,0,1,What’s Huawei bringing to the table at #MWC18? Here’s a sneak peek: https://t.co/F4CFQvwRPp https://t.co/RRt6sG7zMv,29/01/2018,29/01/2018 09:16,9.57981E+17,proactive,10,http://www.twitter.com/Huawei/status/957980773830688768,Huawei,Twitter
10,45,3,12,What’s Huawei bringing to the table at #MWC18? Here’s a sneak peek: https://t.co/eSlgTuKsde https://t.co/zwkf1Q489z,29/01/2018,29/01/2018 07:01,9.57947E+17,proactive,180,http://www.twitter.com/Huawei/status/957946813796921345,Huawei,Twitter
11,43,4,22,One smart #AgileNetwork solution from Huawei = one digital leap for students and teachers at @ENUofficial in Kazakhstan. Be inspired: https://t.co/iGy,26/01/2018,26/01/2018 08:00,9.56874E+17,proactive,283,http://www.twitter.com/Huawei/status/956874390213345282,Huawei,Twitter
12,71,3,15,"In 2016, Internet companies pulled in higher revenues than #telcos for the first time. Why? And how can telcos respond?  https://t.co/cUsLPccCtF #WinW",25/01/2018,25/01/2018 23:30,9.56746E+17,proactive,236,http://www.twitter.com/Huawei/status/956746040278794240,Huawei,Twitter
13,63,2,24,The world’s first #5G NR interoperability is here. @Telekom_group @Intel & Huawei celebrate this revolutionary achievement & collaboration: https://t.,25/01/2018,25/01/2018 06:37,9.56491E+17,proactive,313,http://www.twitter.com/Huawei/status/956491265327079425,Huawei,Twitter
14,4,0,2,The world’s first #5G NR interoperability is here. @Telekom_group @Intel & Huawei celebrate this revolutionary achievement & collaboration: https://t.,25/01/2018,25/01/2018 06:36,9.56491E+17,proactive,24,http://www.twitter.com/Huawei/status/956490846953644032,Huawei,Twitter
15,64,2,19,Join us at #MWC18 on Feb 25 & find out how #digital tech & partnerships are reshaping everything. Your invitation to #HuaweiDXF 2018 is a click away: ,24/01/2018,24/01/2018 06:11,9.56122E+17,proactive,264,http://www.twitter.com/Huawei/status/956122178319130624,Huawei,Twitter
16,8,0,5,Join us at #MWC18 on Feb 25 & find out how #digital tech & partnerships are reshaping everything. Your invitation to #HuaweiDFX 2018 is a click away: ,24/01/2018,24/01/2018 06:00,9.56119E+17,proactive,58,http://www.twitter.com/Huawei/status/956119406974722048,Huawei,Twitter
17,34,1,11,#Huawei & @orangebusiness explain how migrating your applications to #cloud is smart business: https://t.co/L8IJ6FQiZF https://t.co/UVzmgBVtWc,24/01/2018,24/01/2018 05:00,9.56104E+17,proactive,149,http://www.twitter.com/Huawei/status/956104312962260994,Huawei,Twitter
18,68,1,14,"Turn your digital transformation initiatives into success with our #eBook https://t.co/CoRzKMK91p 

& Follow us during #MWC2018 to learn more about Op",24/01/2018,24/01/2018 04:30,9.56097E+17,proactive,213,http://www.twitter.com/Huawei/status/956096763219365888,Huawei,Twitter
19,36,0,8,"How to unlock your business’ economic value? Want 1st hand info from industry giants? The key lies in #HuaweiDFX 2018 | Barcelona, Feb 25. #MWC18 Get ",23/01/2018,23/01/2018 05:00,9.55742E+17,proactive,116,http://www.twitter.com/Huawei/status/955741915726540800,Huawei,Twitter
20,65,2,32,Connecting people. Connecting hope. Connecting an entire nation. Here’s a glimpse of our commitment to building a #BetterConnectedMalaysia #Huawei @Hu,22/01/2018,22/01/2018 06:41,9.55405E+17,proactive,395,http://www.twitter.com/Huawei/status/955405109629865987,Huawei,Twitter
21,6,0,3,Connecting people. Connecting hope. Connecting an entire nation. Here’s a glimpse of our commitment to building a #BetterConnectedMalaysia #Huawei @Hu,22/01/2018,22/01/2018 06:28,9.55402E+17,proactive,36,http://www.twitter.com/Huawei/status/955401671248461824,Huawei,Twitter
22,61,1,26,".@DeutscheTelekom plans to lead the way in Europe with content, #cloud & convergence. Here's how: https://t.co/chJa9k0SWV https://t.co/1BoOuVOCtz",19/01/2018,19/01/2018 04:53,9.54291E+17,proactive,326,http://www.twitter.com/Huawei/status/954290781505798144,Huawei,Twitter
23,14,0,3,".@DeutscheTelekom plans to lead the way in Europe with content, #cloud & convergence. Here's how:       https://t.co/chJa9k0SWV https://t.co/wggayqN61",19/01/2018,19/01/2018 03:30,9.5427E+17,proactive,44,http://www.twitter.com/Huawei/status/954269728272338944,Huawei,Twitter
24,55,7,30,#OpenCloud & #bigdata have taken @Andreani_arg into a bigger & better business space. Learn how    https://t.co/C6j5imTjZ6 https://t.co/Fg7UqMNkLx,18/01/2018,18/01/2018 04:00,9.53915E+17,proactive,390,http://www.twitter.com/Huawei/status/953914880767049729,Huawei,Twitter
25,83,5,26,"All eyes are on #IoT. As this acronym becomes the foundation for a fully connected world, are you geared up to seize a piece of the pie? #Huawei revea",17/01/2018,17/01/2018 04:45,9.53564E+17,proactive,368,http://www.twitter.com/Huawei/status/953563815567740928,Huawei,Twitter
26,122,3,46,Expect 1.1bn connections by 2025 with #5G. What does this mean for industry verticals? https://t.co/U89Zl4TNAm https://t.co/HuvDzUUKRG,16/01/2018,16/01/2018 04:45,9.53201E+17,proactive,597,http://www.twitter.com/Huawei/status/953201435952345093,Huawei,Twitter
27,0,0,0,"RT @MarshaCollier: Does @Huawei’s Failed US Launch Tarnish Your View Of The Company? 
[Poll of the Week]

Doesn't seem so. Interesting poll…",16/01/2018,16/01/2018 03:22,9.53181E+17,retweet,0,http://www.twitter.com/Huawei/status/953180618732462081,Huawei,Twitter
28,93,2,25,"#Huawei is named again as a CSP leader in 2017 #GartnerMQ. We not only celebrate our success, but more importantly, we recognized our team and partner",15/01/2018,15/01/2018 08:30,9.52896E+17,proactive,353,http://www.twitter.com/Huawei/status/952895660017123328,Huawei,Twitter
29,45,1,9,#Huawei & @Orange_France explain how migrating your applications to cloud is smart business      https://t.co/L8IJ6FQiZF https://t.co/oun4zdJP74,15/01/2018,15/01/2018 04:45,9.52839E+17,proactive,140,http://www.twitter.com/Huawei/status/952839036007153664,Huawei,Twitter
30,61,1,29,When #Huawei’s 5.8GHz #LTE technology meets Yangshan Port. You get the world’s largest automated container terminal! https://t.co/4xLEUiEmCV,12/01/2018,12/01/2018 04:55,9.51754E+17,proactive,356,http://www.twitter.com/Huawei/status/951754395032539137,Huawei,Twitter
31,140,4,33,"Hot off #CES2018, the #HUAWEIWiFiQ2 gets WIFI to every nook & cranny of your house, smarter, faster, safer.      https://t.co/C7H99HbsxT https://t.co/",11/01/2018,11/01/2018 08:00,9.51439E+17,proactive,490,http://www.twitter.com/Huawei/status/951438577761640448,Huawei,Twitter
