body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
"During the pandemic government workers have delivered vital public services, keeping us safe and secure. After ten years where the real value of pay has fallen, many face hardship. It's time to give them a fair pay rise  add your support 👇 , ,",Poor Pay,7.170060252,1.118036165,1.511766746,positive,"Nov 22, 2020",Reposts,0,0,0,0,Unknown,45747
I didn’t realize how poor I was until I got a good job. Education and a middle class salary can not undo the long term economic and emotional damage of living most of your life in poverty.,Poor Pay,3.428318857,4.349932426,-0.584663889,negative,"May 7, 2021",Reposts,0,0,0,0,Female,82152
"British people have this really dumb complex where they think they’re meant to vote for their future aspirations and not their current position It’s Dominic Cummings who got the £40,000 pay rise not you, there’s a reason your wage has been stagnant since 2010",Cost of Living,1.277755617,3.769610947,-1.428440275,negative,"Jan 2, 2021",Reposts,0,0,0,0,Unknown,13581
"Tory MPs have voted against a ban on residents having to pay to fix flammable cladding and other fire safety problems. Hundreds of thousands remain trapped in dangerous homes, with bills they can't afford, through no fault of their own. Unfair doesn't begin to cover it.",Poor Pay,3.365987742,5.851461714,-0.899543632,negative,"Apr 27, 2021",Reposts,0,0,0,0,Male,2976
"The trouble with Rishi Sunak's upbeat message is that inflation and tax rises will hold back income growth. Average earners will probably be worse off in a year's time than they are today. Me in , ,",Wage Growth,5.453477093,2.944297162,0.26980968,neutral,"Oct 28, 2021",Reposts,0,0,0,0,Male,32501
"Class & covid is a lethal cocktail. While the rich get richer, the poorest are dying at twice the rate of the richest. Instead of going back to that rigged system, we should make the wealthiest pay their fair share & give key workers a pay rise. My speech in Parliament 👇🏽 ,",Rich People,2.891547309,2.992244175,-0.380805496,negative,"Jan 26, 2021",Reposts,0,0,0,0,Male,15021
"Basically if the poor, low paid workers and those unable to work are going to lose £1000 a year in addition to rises in energy, food and local Taxes, In effect becoming £2000 worse off per year on an income that was at best insufficient already, There's going to be trouble.",Cost of Living,1.277755617,6.261466277,-1.935882863,negative,"Sep 18, 2021",Reposts,0,0,0,0,Male,14415
"A typical low income family will be £1,750 worse off when the whammy of government attacks on their income take effect. The Tory Party had many routes out of this pandemic. History will record they chose a recovery on the backs of ordinary people. While billionaire profits soar",Poor Pay,4.978246434,3.533156595,-0.003687574,neutral,"Sep 22, 2021",Reposts,0,0,0,0,Female,11969
"WASTEFUL, INDEFENSIBLE: High tax low growth Tories dosh out ANOTHER £15 bn to their mates on failing test & trace, whilst forcing another 1.3 million of lowest paid to start paying income tax to help pay for it. ,",Wage Growth,1.538661899,5.803514702,-1.674124166,negative,"Mar 10, 2021",Reposts,0,0,0,0,Unknown,8457
"Tory Britain: Millions cannot afford water bills. People skipping meals to pay for water. 1.5m households in water poverty Austerity, low wages, profiteering and a govt for the corporations take its toll. Essential services must be publicly owned. ,",Cost of Living,2.891547309,4.703048196,-0.832992681,negative,"May 26, 2021",Reposts,0,0,0,0,Male,9438
"The virus is as statistically as deadly as a bad flu; in fact this is why the U.K. gov website downgraded the threat last year. Research FACTS, and you will find the data on all credible gov sites. Not conspiracy no matter how loud the paid for shills cry. ,",Low Income Families,2.162450882,3.998184111,-0.96117163,negative,"May 27, 2021",Reposts,0,0,0,0,Male,301743
"Firing staff & rehiring them on worse pay & employment terms should be outlawed. Worker insecurity & low wages condemn millions to insecurity, retards economic/social development. Need to change law, have strong trade unions; put workers on company boards. ,",Public Sector Pay,1.538661899,5.75556769,-1.665828129,negative,"May 9, 2021",Reposts,0,0,0,0,Male,53825
"This , chart is damning. Under Westminster control, the UK is suffering two decades of stagnant wages. As a result of damaging Tory political choices, real wages have fallen and millions of people are worse off. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland can make better choices with independence. ,",Wage Growth,3.14736428,5.406862474,-0.887677199,negative,"Oct 28, 2021",Reposts,0,0,0,0,Unknown,7060
"Important to put today's UC debate in perspective. The UK has an income crisis. *Before* latest lockdown, 20M people were living below a minimum acceptable level. *Even with* a £20/week UC uplift, this was set to rise by 1.7M by spring. Without the uplift, it rises by 2.5M.",Government Support,4.797701254,2.826353942,0.182575786,neutral,"Jan 18, 2021",Reposts,0,0,0,0,Female,20549
"I’d like to thank all the bin men and delivery drivers and many others who rarely get a mention ,working their socks off throughout, keeping us going, especially in this heat, offer them a cold drink,you’ll be surprised how grateful they are,where’s their big fuck off pay rise🤔",Poor Pay,4.633311498,1.318853056,0.909935787,positive,"Jul 23, 2021",Reposts,0,0,0,0,Female,5558
"New polling shows massive public opposition to low pay, bogus selfemployment and antiunion practices in the gig economy – it's time to change the laws that allow corporate giants to cheat workers. ,",Mental Health,1.318853056,3.687416069,-1.374737089,negative,"Oct 29, 2021",Reposts,0,0,0,0,Unknown,75997
"Lying: “rhetoric” Young person: ""snowflake"" Grotesque inequality: “incentivising” Farright rhetoric “marginalised voices” Oxbridge Professors “secondrate dons” Lowpaid insecure work: “flexible working” Booing the England football team: “free speech”",Mental Health,2.843600297,5.75556769,-1.051670311,negative,"Jun 17, 2021",Reposts,0,0,0,0,Unknown,17472
"For the millionth time, no one is demonizing the poor in critiquing fast fashion. However, pretending that it's the ""poor"" who drive this system is intellectually dishonest. The fast fashion industry is a trillion dollar industry driven by folks with disposible income.",Government Support,2.478469122,2.482585843,-0.348233206,negative,"Nov 28, 2020",Reposts,0,0,0,0,Female,3690
"""The social credit system will go nationwide next year, and few here are willing to criticize it."" ""Information collectors…are paid to report on their neighbors. Her quota: 10 entries a month…a bad score means public shame, and worse."" ,",Government Support,2.396274244,4.892246295,-1.060310021,negative,"Jul 26, 2021",Reposts,0,0,0,0,Unknown,1269
I need help sir. Our wages have been stagnant for years. CEOs are overpaid. Billionaires are not taxed fairly. Trees are being cut for profit of the few. All of this is causing me and many others mental stress. Can I reach out to you as you said in this tweet?,Mental Health,2.478469122,5.277111833,-1.102311457,negative,"Apr 6, 2021",Reposts,0,0,0,0,Unknown,668
"Properly awful article here. Low point is probably juxtaposing delays in initial Home Office asylum decision making with Home Office costs lawyers haggling in judicial review claims. They are utterly unrelated. , ,",Government Support,2.168660482,4.280715508,-1.026584073,negative,"Mar 20, 2021",Reposts,0,0,0,0,Female,10349
"So the BBC's assessment of the budget is that poor and middleincome families will be worse off..... Dear , your propaganda department is rebelling",Low Income Families,2.795653285,2.89635015,-0.381959153,negative,"Oct 28, 2021",Reposts,0,0,0,0,Unknown,8173
"Barcelona, Real Madrid, they won’t make a gallant bid. And the rest know there are better options. They’ve all had their chance to pay big. Nowhere near the interest of 2016  even at a much lower price. Caveat emptor. What a shame it came to this. What poor timing today.",Low Income Families,4.569539677,0.993809924,1.179048196,positive,"Dec 7, 2020",Reposts,0,0,0,0,Female,2372
"Sick of reading & hearing about the NHS pay rise tbh. We shut the country down to protect it, we sacrificed lives to protect it, in terms of cancer patients... now they want to go on strike. We’re all hurting financially those of us in the private sector most.",Public Sector Pay,3.14736428,4.424556545,-0.687178282,negative,"Mar 6, 2021",Reposts,0,0,0,0,Unknown,2248
"A qualified nurse earns 33k pa, well over national average wage. His or her job is safe & gets a generous pension. So why should they get a 15% wage rise when those of us in private sector have ""to protect the NHS"" seen massive job losses, pay cuts etc? ,",Public Sector Pay,4.601504352,1.025774599,1.154361659,positive,"Mar 29, 2021",Reposts,0,0,0,0,Male,2224
How Nigerian politicians respond to peaceful protesters: Solve the issues causing the complaints? ❌ Pay poor Nigerians to stage a counter protest? ✅ Pay thugs to disrupt the protests ✅ Enforce the police to crack down on peaceful protesters ✅ Call them terrorists? ✅,Leaseholding,1.927698206,6.680280329,-1.589406891,negative,"Jun 12, 2021",Reposts,0,0,0,0,Unknown,8855
"The current energy crisis hasn’t happened overnight. It is the product of poor planning from the government and exploitative employment practises. We have a wage crisis not because of free movement, but bad employers and government failures.",Cost of Living,1.846394278,7.021754057,-1.682351944,negative,"Sep 28, 2021",Reposts,0,0,0,0,Male,5951
"""Women’s income has fallen off a cliff and they are not entitled to, or struggle to get, government support. People sound desperate. People haven’t eaten. I have got a list of people in dire straits. It’s horrifying what’s happening.” ,",Government Support,3.55589031,4.892246295,-0.665619683,negative,"Jan 29, 2021",Reposts,0,0,0,0,Unknown,5121
"Britain has had a lost decade on productivity and wages, while the housing crisis intensifies and we fail to properly address climate change. We’ll have another one because 60 year old blokes with 5 properties think they are ‘middle britain’ & Blair should be PM. Poor Gen Z!",Mental Health,1.538661899,4.44582645,-1.407626228,negative,"Feb 26, 2021",Reposts,0,0,0,0,Unknown,4888
"The unvaccinated in America are overwhelmingly lowincome people, which means any punitive measures against those refusing vaccinations  loss of jobs, bar on entrance to public spaces or travel  will disproportionately fall on those who are most economically vulnerable. ,",Low Income Families,1.706160178,5.255175759,-1.471541704,negative,"Sep 10, 2021",Reposts,0,0,0,0,Female,3854
"If we’re going to start saying that the salaries of British MPs compare unfavourably with the amounts paid to MPs in other countries, we’d better not stop there. Let’s increase our state pensions and rates of sickness benefit to the levels now being enjoyed by most of Europe.",State Pension,5.093319263,1.846394278,0.668121444,positive,"Nov 10, 2021",Reposts,0,0,0,0,Male,3465
"The Westminster goverment that can't pay a decent pension, finds billions for yet more nuclear missiles. Missiles that can't ever be used but Westminster's cronies will get paid. Just like PPE cash, its the rich thieves stealing from the poor tax payer. Dont play. EndLondonRule ,",Rich People,6.222808043,2.307992848,0.645269419,positive,"Mar 18, 2021",Reposts,0,0,0,0,Male,3384
"The issue with this is no one ever offers an alternative. Should women not have children? Should women not have jobs? How does that work if men want kids, which are basically impossible to afford on a single income? Does anyone have a suggestion, other than deriding ""bad women""?",Poor Pay,2.797657138,2.899954951,-0.382486462,negative,"Sep 15, 2021",Reposts,0,0,0,0,Female,3119
let’s be clear. Brexit *means* lowpaid foreign workers. But now  they can’t switch job & they fear deportation. They’ll be scared of reporting abuse & wage theft. They’ll be hidden away. They’ll be *more* valuable to bad employers than EU workers.,State Pension,2.478469122,4.933343734,-1.034949511,negative,"Oct 3, 2021",Reposts,0,0,0,0,Female,2995
", Oh wow there was I worrying about rises in food, heating, fuel, water pollution, poor pension, poor wages, my son on zero hours agency work, but Keir wants to cut business rates! My worries are over 🙄",Pay Rises,2.795653285,4.349932426,-0.788668088,negative,"Oct 25, 2021",Reposts,0,0,0,0,Male,2685
"Our struggling justice system is even making the US news: Covid has exacerbated the strain on Britain’s justice system from earlier funding cuts. Case slowdowns and low pay for publiclyfunded lawyers threaten the future of fair trials, reports , ,",Long Hours,4.244432719,4.397879438,-0.382087893,negative,"Mar 17, 2021",Reposts,0,0,0,0,Unknown,768
"We are supporting NotTooMuchtoMask Older, mentally ill and disabled people, BAME and poorer communities, care staff largely low paid women have paid a heavy price in the pandemic. Pls respect our lives as well as your freedom.",Public Sector Pay,5.95731732,1.318853056,1.161284213,positive,"Jul 21, 2021",Reposts,0,0,0,0,Unknown,626
The problem with the dementia tax was that it didn't properly pool risk as you only paid it if you needed care. The problem with NICs rise is it taxes low income workers to protect housing wealth of the rich. It's not hard to understand!,Rich People,4.564606999,3.563246406,-0.098913211,neutral,"Sep 8, 2021",Reposts,0,0,0,0,Unknown,341238
What's caused these huge year on year falls? Cuts to benefits  the four year benefit freeze alone took 6% off the value of most working age benefits during these years. The result: the poorest households entered the pandemic with no real income growth since 200405,Wage Growth,4.244432719,1.843830656,0.4871893,positive,"Jan 21, 2021",Reposts,0,0,0,0,Male,14026
Increased military spending won't help people survive through Covid. Feed pupils in school holidays. Living wage sick pay. Raise Universal Credit payments. Invest in peace building and conflict resolution. UKDefundWar,Government Support,4.244432719,4.750995208,-0.459319528,negative,"Nov 30, 2020",Reposts,0,0,0,0,Unknown,11300
"Less than 0.03% of British soldiers who served in Northern Ireland killed anyone of any nationality, lawfully or unlawfully. 100% of people who joined the IRA did so with the intention to terrorise, murder and maim. But don't see you pay any attention to that Chelle. 🤔",Government Support,1.538661899,4.44582645,-1.407626228,negative,"Jul 2, 2021",Reposts,0,0,0,0,Unknown,9592
"Hearing ThePrimeMinister talk in glowing terms about the NHS makes me sick! The Tory government voted against a pay rise for staff just 2 years ago. The Tory gov has deliberately & systematically run down the NHS for 10 years, resulting in 100,000 vacancies.",Poor Pay,2.23607233,6.668739675,-1.439283575,negative,"Jan 29, 2021",Reposts,0,0,0,0,Unknown,8326
"Some paleontologists throw a fit over inaccurate hobbyist dinosaur drawings, declaring it harms the science perception. No. Science is harmed by Ivory Tower attitude in universities, paywalling articles, poor education, bad science rely by press, sensationalism etc.",Mental Health,1.788857864,5.162382497,-1.406394436,negative,"Sep 17, 2021",Reposts,0,0,0,0,Male,6724
